version,review_count,average_rating,negative_percentage,one_star_percentage,two_star_percentage,average_sentiment,dominant_issue,issue_percentage,neg_zscore,unusual_negative
7.0,1,5.0,0.0,0.0,0.0,0.0,n/a,0.0,,
14.00,1,5.0,0.0,0.0,0.0,0.732,n/a,0.0,,
14.14,1,5.0,0.0,0.0,0.0,0.432,n/a,0.0,,
14.25,1,1.0,0.0,100.0,0.0,0.0,n/a,0.0,,
14.43,1,1.0,100.0,100.0,0.0,-0.912,App Update Complaints,100.0,,
14.47,1,5.0,0.0,0.0,0.0,0.652,n/a,0.0,,
14.49,1,5.0,0.0,0.0,0.0,0.702,n/a,0.0,,
14.52,1,5.0,0.0,0.0,0.0,0.646,n/a,0.0,,
14.54,1,5.0,0.0,0.0,0.0,0.816,n/a,0.0,,
14.59,1,5.0,0.0,0.0,0.0,0.715,n/a,0.0,,
14.65,1,5.0,0.0,0.0,0.0,0.839,n/a,0.0,,
14.70,1,5.0,0.0,0.0,0.0,0.432,n/a,0.0,,
14.74,1,5.0,0.0,0.0,0.0,0.588,n/a,0.0,,
14.76,2,1.0,0.0,100.0,0.0,0.311,"General / Mixed (noisy, other-language)",100.0,,
14.87,2,5.0,100.0,0.0,0.0,-0.587,"General / Mixed (noisy, other-language)",100.0,,
14.97,1,3.0,0.0,0.0,0.0,0.0,n/a,0.0,,
15.00,1,5.0,0.0,0.0,0.0,0.0,n/a,0.0,,
15.07,1,5.0,0.0,0.0,0.0,0.432,n/a,0.0,,
15.26,4,4.5,0.0,0.0,0.0,0.466,n/a,0.0,,
15.36,1,1.0,0.0,100.0,0.0,0.0,"Hinglish Reviews (language, not an issue)",100.0,,
15.47,3,4.67,33.3,0.0,0.0,0.217,App Update Complaints,100.0,,
15.50,2,1.0,50.0,100.0,0.0,-0.299,n/a,0.0,,
15.52,2,1.0,100.0,100.0,0.0,-0.805,Severe Dissatisfaction ('worst app'),100.0,,
15.54,2,3.0,50.0,50.0,0.0,-0.039,"General / Mixed (noisy, other-language)",100.0,,
15.68,1,5.0,100.0,0.0,0.0,-0.937,"General / Mixed (noisy, other-language)",100.0,,
15.71,1,1.0,100.0,100.0,0.0,-0.756,High Brokerage / Charges,100.0,,
15.76,1,5.0,0.0,0.0,0.0,0.715,n/a,0.0,,
15.80,2,3.0,50.0,50.0,0.0,0.047,n/a,0.0,,
15.87,2,1.0,100.0,100.0,0.0,-0.623,Generic Negative Experience,50.0,,
15.91,1,5.0,0.0,0.0,0.0,0.715,n/a,0.0,,
15.96,2,3.0,50.0,50.0,0.0,-0.22,"General / Mixed (noisy, other-language)",100.0,,
15.99,1,5.0,0.0,0.0,0.0,0.537,n/a,0.0,,
16.00,2,1.0,100.0,100.0,0.0,-0.658,"General / Mixed (noisy, other-language)",100.0,,
16.13,1,3.0,0.0,0.0,0.0,0.346,n/a,0.0,,
16.21,2,1.0,100.0,100.0,0.0,-0.575,"General / Mixed (noisy, other-language)",100.0,,
16.22,1,5.0,0.0,0.0,0.0,0.691,n/a,0.0,,
16.27,2,3.0,50.0,50.0,0.0,-0.057,Charts / App Not Working,100.0,,
16.29,3,3.33,66.7,33.3,0.0,-0.225,Severe Dissatisfaction ('worst app'),50.0,,
16.37,2,5.0,50.0,0.0,0.0,-0.256,App Update Complaints,100.0,,
16.39,2,3.0,50.0,50.0,0.0,-0.178,"General / Mixed (noisy, other-language)",100.0,,
16.43,1,5.0,0.0,0.0,0.0,0.762,n/a,0.0,,
16.44,3,4.0,33.3,0.0,33.3,-0.015,High Brokerage / Charges,100.0,,
16.45,4,3.5,25.0,25.0,0.0,0.059,n/a,0.0,,
16.53,3,3.67,33.3,33.3,0.0,0.151,n/a,0.0,,
16.54,2,5.0,0.0,0.0,0.0,0.887,n/a,0.0,,
16.55,1,5.0,0.0,0.0,0.0,0.452,n/a,0.0,,
16.64,6,3.5,16.7,16.7,0.0,0.173,"General / Mixed (noisy, other-language)",100.0,,
16.67,1,5.0,0.0,0.0,0.0,0.452,n/a,0.0,,
