version,issue,review_count,pct_of_version_issues
14.43,App Update Complaints,1,100.0
14.76,"General / Mixed (noisy, other-language)",2,100.0
14.87,"General / Mixed (noisy, other-language)",1,100.0
15.36,"Hinglish Reviews (language, not an issue)",1,100.0
15.47,App Update Complaints,1,100.0
15.52,Severe Dissatisfaction ('worst app'),1,100.0
15.54,"General / Mixed (noisy, other-language)",1,100.0
15.68,"General / Mixed (noisy, other-language)",1,100.0
15.71,High Brokerage / Charges,1,100.0
15.87,Generic Negative Experience,1,50.0
15.87,"Hinglish Reviews (language, not an issue)",1,50.0
15.96,"General / Mixed (noisy, other-language)",1,100.0
16.00,"General / Mixed (noisy, other-language)",1,100.0
16.21,"General / Mixed (noisy, other-language)",2,100.0
16.27,Charts / App Not Working,1,100.0
16.29,"General / Mixed (noisy, other-language)",1,50.0
16.29,Severe Dissatisfaction ('worst app'),1,50.0
16.37,App Update Complaints,1,100.0
16.39,"General / Mixed (noisy, other-language)",1,100.0
16.44,High Brokerage / Charges,1,100.0
16.64,"General / Mixed (noisy, other-language)",1,100.0
16.68,App Update Complaints,1,33.3
16.68,Charts / App Not Working,1,33.3
16.68,"Hinglish Reviews (language, not an issue)",1,33.3
16.71,"General / Mixed (noisy, other-language)",1,100.0
16.73,Charts / App Not Working,1,50.0
16.73,Customer Support,1,50.0
16.75,"General / Mixed (noisy, other-language)",1,100.0
16.79,"General / Mixed (noisy, other-language)",2,100.0
16.87,"General / Mixed (noisy, other-language)",2,66.7
16.87,"Hinglish Reviews (language, not an issue)",1,33.3
16.89,"General / Mixed (noisy, other-language)",1,100.0
16.95,"General / Mixed (noisy, other-language)",2,100.0
17.12,Generic Negative Experience,1,100.0
17.15,"General / Mixed (noisy, other-language)",1,100.0
17.17,"General / Mixed (noisy, other-language)",2,66.7
17.17,"Hinglish Reviews (language, not an issue)",1,33.3
17.23,"General / Mixed (noisy, other-language)",1,100.0
17.27,"General / Mixed (noisy, other-language)",2,100.0
17.29,App Update Complaints,2,66.7
17.29,"General / Mixed (noisy, other-language)",1,33.3
17.32,Charts / App Not Working,1,100.0
17.40,"General / Mixed (noisy, other-language)",1,50.0
17.40,High Brokerage / Charges,1,50.0
17.44,"General / Mixed (noisy, other-language)",1,100.0
17.50,"General / Mixed (noisy, other-language)",1,100.0
17.55,"General / Mixed (noisy, other-language)",1,100.0
17.59,"General / Mixed (noisy, other-language)",2,100.0
